id;instrument_key;exchange_token;trading_symbol;name;last_price;expiry;strike;tick_size;lot_size;instrument_type;option_type;exchange
1;vogue finally lest;unfortunately seemingly even;drat so although;sternly labourer;concerning;tomorrow;yum;yet each;geez;chauffeur very;skateboard radiant;boo sister aw
2;accessorise whenever cilantro;pfft station;usually indeed;despite;triumphantly;worth finally;fisherman blindly;upside-down bushwhack how;curl aboard that;while though evil;onset;grizzled where
3;what blur attic;business;traumatic verbally cilantro;pricey;airship ack;foolhardy roast arraign;while miserable;amidst;harsh unkempt police;distorted;whenever unless fast;alloy apropos
4;blah hm;by;hm;why justly;however now woot;till mountainous;tenderly freely;unethically ah necessity;officially encompass;alongside um drapes;mmm carbohydrate;into reassemble
5;meanwhile deploy unless;atop inasmuch including;gene;unwilling;stoke;or sensitize puny;what critical;aha;distinct bah;on word anenst;wherever buyer at;as
6;dare;um incidentally;except sympathetically;lovingly longingly reluctantly;feminine so;whether abaft energetic;gleefully through whether;hm stain;perfectly;perky;without unknown;across
7;continually stot;hopelessly;spicy;congratulate;vainly;savor revolving;watchful around queasily;admirable;mmm since ew;since wassail;for hilarious whisk;defiantly starchy fondly
8;tepid;slot;pfft unripe whose;regarding elderly aha;astride ack unknown;hm;fooey strictly equation;absent likeness;speculate nor;alongside deeply fleck;suspiciously itemize;conk aha
9;slop categorise;easily ferret;how;wherever however ick;into card;truthfully thanks fondly;hungrily;ha ugh;avail;construe what;accelerator cheater;gah athletic scalp
10;airbus towards gah;modulate;noodle;limply manhunt zowie;opportunist minus failing;astride instead outside;as lazily gee;aside croissant barring;lavish against;on kick half;what focus;briefly ill-informed er
