id;instrument_key;exchange_token;trading_symbol;name;last_price;expiry;strike;tick_size;lot_size;instrument_type;option_type;exchange
1;limping torn what;blond quicker;lest cleverly;whereas plummet scout;useless supposing pale;orient vacantly unequaled;mangle;apostrophise;mammoth;blank dump discharge;deadline;winding point
2;up ack;useless joshingly;leopard openly after;blissfully early because;which;behind exeunt so;finally under;hex seriously;now nicely;eek woot;buzz;loan
3;smoothly zowie;minus meh;freelance vibration till;brink skitter;signal now despite;outside about than;gadzooks coaxingly;arctic;mop while decade;noxious identical hopelessly;field;beneath brr mailbox
4;noisily now er;building easily;required detailed;e-book unfortunately side;polished terribly;transact dock aside;lest;bah cope;defeat wherever sweaty;centurion;though rod;judgementally
5;harass ecliptic;briskly;profitable kindheartedly;youthfully that;beyond hmph damaged;populist opposite;anenst pish;quintessential actually;hungry;because spurt shock;bashfully;like preface
6;itemise more now;about realistic yuck;except yowza during;skean deliquesce furthermore;anti partially of;imprison blah innovation;granular;um fooey;boohoo annually horrible;at;next;insubstantial furthermore
7;loftily beneath;delightfully but overpower;never hassock;sometimes drat;hmph inasmuch;innocently whenever;eek bracket;knowledgeable legitimate;phooey meh gas;lug oddly excepting;hastily klutzy unless;and
8;faithfully;drat extra-small;phooey;upon lively;boohoo frightfully;astonishing;if consequently;chubby;astronomy;phew so;out huzzah;beyond nautical derrick
9;if;weaken fearless what;huzzah madly;supposing needily accurate;integrate oof;now;frustrate;except;perpetrate commandeer;boo;phooey;failing until
10;whoever outfox merry;psst ah;seemingly;solitaire tidy;unless;aw jealously;ultimately vice;dead round cautiously;and nor;fast;drat;cash
