id;instrument_key;exchange_token;trading_symbol;name;last_price;expiry;strike;tick_size;lot_size;instrument_type;option_type;exchange
1;revitalization woot;ouch whinge nod;heavy;invader;hardship merrily sensitivity;commonly grandfather ack;purge abaft seafood;disguise repeatedly;bountiful and astride;geez;software;mean filter
2;bonfire mmm speech;sister klutzy;delightfully incidentally;extra-small weaken;when;agile ah hm;sternly hmph mean;poised helpless ick;appropriate whether;confused pin submissive;sans consequently ah;softly against warning
3;who wearily intersect;valuable collocate;till alienated;rail judgementally pose;near though celebrated;yawning useful theism;mmm inwardly blah;duh vein loosely;wide-eyed pro past;crowded;geez;though kind allowance
4;fooey;pierce frequent;jam-packed;hot that playfully;tonify conception;properly;mmm gem modulo;smoothly;ecclesia given visible;worth separate qua;along onto furthermore;discrete after
5;youthfully whether curtsy;flickering ew;on abaft bankruptcy;after;seeder empire;last from seriously;char mechanically;atop crushing;never vibrant dimly;forest pish;lemon regularly incidentally;unique physically
6;voluntarily reduction;keep;gee;hence by flugelhorn;pay partially supposing;beneath mmm provided;noxious;underneath;volumise crafty quietly;zowie afore;throughout reformulate;gleefully uh-huh instead
7;extremist villainous;pressurisation waddle;wrong;circa impressionable versus;whose;lycra;ugh loyally boastfully;until;deplete where;tiny;extremely ready wearily;crossly
8;finally healthily upside-down;via cruel;poison trill morsel;vide;greed;what;psst once than;phooey dodge smog;avert joyfully;ah ha anxious;beginner from once;where ick for
9;prevention;against yet whether;self-reliant short-term frizzy;wordy aw gregarious;whenever consulate trim;given;waiter;weakly;hm fan;hence behind perpetrate;upon for excluding;verbally loftily wrongly
10;regularly wonderful yowza;duh intently on;arrogantly;incompatible who but;chestnut fence boohoo;although;often imperfect manacle;worriedly inquisitively;steel parole cylinder;sultan port heavily;delicious urgently under;extremely till
